scenario,history_stratum,prediction_type,horizon_years,bin_index,n_landmarks,n_patients,prediction_min,prediction_max,patient_balanced_mean_prediction,weighted_km_observed_risk,calibration_difference
no_ADAS13,all,cross_fitted_intercept_slope,5,6,2631,2214,0.6036215004351283,0.691521523952493,0.6461616269762455,0.5850021246041179,0.06115950237212753
no_ADAS13,all,cross_fitted_intercept_slope,5,7,2630,2140,0.6915314571141982,0.7893289178482723,0.7403531132427578,0.7054320730052066,0.03492104023755116
no_ADAS13,all,cross_fitted_intercept_slope,5,8,2630,2046,0.789381167079392,0.8791903677529564,0.8350489302561579,0.7935955925682051,0.041453337687952785
no_ADAS13,all,cross_fitted_intercept_slope,5,9,2631,1902,0.8792088803467307,0.999999864399702,0.9307922395075179,0.8686099508596133,0.06218228864790454
no_ADAS13,Snapshot,raw_zero_shot,1,0,881,881,0.00677090107454037,0.01472578133889002,0.012554548297356586,0.01119094668307985,0.0013636016142767361
no_ADAS13,Snapshot,raw_zero_shot,1,1,882,882,0.01472578133889002,0.01794592845552312,0.016334035139887557,0.016874533136256087,-0.0005404979963685302
no_ADAS13,Snapshot,raw_zero_shot,1,2,882,882,0.01795024598398043,0.021504624529671612,0.019744394010077437,0.03941543069250397,-0.019671036682426535
no_ADAS13,Snapshot,raw_zero_shot,1,3,881,881,0.021521175522339897,0.025977865943726197,0.02346200450095411,0.028112444293109995,-0.004650439792155885
no_ADAS13,Snapshot,raw_zero_shot,1,4,882,882,0.025984635085800623,0.03188063472170177,0.02884723643242959,0.04385988497430293,-0.015012648541873341
no_ADAS13,Snapshot,raw_zero_shot,1,5,882,882,0.031918189143281595,0.04035819381675465,0.03585743066768465,0.040236617419003085,-0.004379186751318431
no_ADAS13,Snapshot,raw_zero_shot,1,6,881,881,0.04037393933790423,0.05084564510875256,0.045406009788226176,0.06183550288245654,-0.016429493094230363
no_ADAS13,Snapshot,raw_zero_shot,1,7,882,882,0.05086952251709553,0.06569326227694583,0.057923494839063644,0.06191290934204874,-0.003989414502985095
no_ADAS13,Snapshot,raw_zero_shot,1,8,882,882,0.06569326227694583,0.10052626307963863,0.07999556778283534,0.09029464032703183,-0.010299072544196486
no_ADAS13,Snapshot,raw_zero_shot,1,9,882,882,0.10057272346246793,0.8340286556798049,0.18569076826453196,0.1624477007265096,0.023243067538022355
no_ADAS13,Snapshot,raw_zero_shot,2,0,881,881,0.02902525761241448,0.05146085357856178,0.04446228885416081,0.10032929208297725,-0.05586700322881644
no_ADAS13,Snapshot,raw_zero_shot,2,1,882,882,0.051471180977513686,0.060187090151779477,0.05589297677565022,0.08985126275838617,-0.03395828598273595
no_ADAS13,Snapshot,raw_zero_shot,2,2,882,882,0.060187090151779477,0.06949783650912522,0.06469464918006303,0.15875848649787572,-0.09406383731781269
no_ADAS13,Snapshot,raw_zero_shot,2,3,881,881,0.06950098414925554,0.08159616073592246,0.0751691602921499,0.19332730405820064,-0.11815814376605074
no_ADAS13,Snapshot,raw_zero_shot,2,4,882,882,0.08161093024432065,0.09813624935744492,0.08923345223056822,0.2317899104229052,-0.14255645819233698
no_ADAS13,Snapshot,raw_zero_shot,2,5,882,882,0.09819998834532262,0.11767240106899512,0.10774122359261673,0.2814011281978219,-0.1736599046052052
no_ADAS13,Snapshot,raw_zero_shot,2,6,881,881,0.11770735196902282,0.142885448270062,0.13045813251597402,0.27372166553077015,-0.14326353301479614
no_ADAS13,Snapshot,raw_zero_shot,2,7,882,882,0.142885448270062,0.17365087308881244,0.1572191367195541,0.29477166483581607,-0.13755252811626198
no_ADAS13,Snapshot,raw_zero_shot,2,8,882,882,0.17374410787623817,0.24001331494781863,0.20179143134363506,0.4203024512946819,-0.21851101995104685
no_ADAS13,Snapshot,raw_zero_shot,2,9,882,882,0.2400646590224973,0.9854971932692455,0.380583007167037,0.6233858854224931,-0.24280287825545604
no_ADAS13,Snapshot,raw_zero_shot,3,0,881,881,0.03856367612845091,0.10098808235680545,0.08452817254328705,0.12413525189474905,-0.039607079351462
no_ADAS13,Snapshot,raw_zero_shot,3,1,882,882,0.10100114291028173,0.12221358760678924,0.11134201836235276,0.17856547029210967,-0.06722345192975691
no_ADAS13,Snapshot,raw_zero_shot,3,2,882,882,0.122226654294318,0.1420127229863295,0.1319624507739952,0.2042438330450277,-0.07228138227103248
no_ADAS13,Snapshot,raw_zero_shot,3,3,881,881,0.1420127229863295,0.1618621861988122,0.1515185935758468,0.2929433404266012,-0.1414247468507544
no_ADAS13,Snapshot,raw_zero_shot,3,4,882,882,0.1618635150563167,0.1851712975426163,0.17299062908546695,0.2945408757315646,-0.12155024664609768
no_ADAS13,Snapshot,raw_zero_shot,3,5,882,882,0.18517674664254213,0.2128535176232662,0.19867686546684513,0.34334438337980955,-0.14466751791296442
no_ADAS13,Snapshot,raw_zero_shot,3,6,881,881,0.21291124763580238,0.25219970637792166,0.23171072322464517,0.4552061286817065,-0.22349540545706134
no_ADAS13,Snapshot,raw_zero_shot,3,7,882,882,0.25225305686837207,0.3107544783684729,0.27904231483526787,0.5386197911043586,-0.2595774762690908
no_ADAS13,Snapshot,raw_zero_shot,3,8,882,882,0.3107977332370593,0.4317878571743283,0.3636869596816788,0.6647277169099599,-0.3010407572282811
no_ADAS13,Snapshot,raw_zero_shot,3,9,882,882,0.4320273234655122,0.999355191055581,0.6006112092215203,0.7942797304674313,-0.19366852124591094
no_ADAS13,Snapshot,raw_zero_shot,5,0,881,881,0.07755476451763654,0.21115114059221463,0.17898571593331516,0.21413168956918305,-0.03514597363586788
no_ADAS13,Snapshot,raw_zero_shot,5,1,882,882,0.21115114059221463,0.24973420965047877,0.2313146888887557,0.2243747169581951,0.00693997193056059
no_ADAS13,Snapshot,raw_zero_shot,5,2,882,882,0.24973420965047877,0.28288879537637257,0.2661671851595028,0.321405450119322,-0.055238264959819205
no_ADAS13,Snapshot,raw_zero_shot,5,3,881,881,0.2829655744152316,0.31770304684772177,0.2999264766738285,0.3907100667533475,-0.09078359007951903
no_ADAS13,Snapshot,raw_zero_shot,5,4,882,882,0.31770304684772177,0.3539830217704292,0.33544710097988406,0.4368489052857758,-0.10140180430589174
no_ADAS13,Snapshot,raw_zero_shot,5,5,882,882,0.3540249285188659,0.40037272753687925,0.37600376006370595,0.5391858906554012,-0.16318213059169528
no_ADAS13,Snapshot,raw_zero_shot,5,6,881,881,0.4003781262180741,0.45957218794039156,0.42915730663822776,0.5699830650257235,-0.14082575838749573
no_ADAS13,Snapshot,raw_zero_shot,5,7,882,882,0.4596205025200245,0.5456819493898789,0.5011406314631744,0.7016038679326103,-0.20046323646943587
no_ADAS13,Snapshot,raw_zero_shot,5,8,882,882,0.546094767170352,0.6869455119988714,0.6104844310840649,0.8312352177626146,-0.22075078667854964
no_ADAS13,Snapshot,raw_zero_shot,5,9,882,882,0.687435598117655,0.9999941520837176,0.8196569092803978,0.9225081756898339,-0.10285126640943609
no_ADAS13,Snapshot,cross_fitted_intercept_only,1,0,881,881,0.007529736916706997,0.016931825949734303,0.014408223347864155,0.013067358822271169,0.0013408645255929864
no_ADAS13,Snapshot,cross_fitted_intercept_only,1,1,882,882,0.016935584323211295,0.020671349880170053,0.01875673574757844,0.01286662183234455,0.005890113915233891
no_ADAS13,Snapshot,cross_fitted_intercept_only,1,2,882,882,0.02067718394096474,0.02457569771303625,0.022683746679702636,0.0389892780669997,-0.016305531387297064
no_ADAS13,Snapshot,cross_fitted_intercept_only,1,3,881,881,0.024602821403972186,0.029890067900388062,0.02693534613214935,0.03102927167601821,-0.004093925543868861
no_ADAS13,Snapshot,cross_fitted_intercept_only,1,4,882,882,0.029894712382828148,0.03640030424002316,0.03307156885320582,0.040321952728684995,-0.007250383875479174
no_ADAS13,Snapshot,cross_fitted_intercept_only,1,5,882,882,0.036401000792935845,0.046210677216323215,0.041090757520152635,0.04803104374094447,-0.006940286220791833
no_ADAS13,Snapshot,cross_fitted_intercept_only,1,6,881,881,0.04623525136675055,0.058128021972283395,0.05180163467831366,0.06178990634475401,-0.009988271666440347
no_ADAS13,Snapshot,cross_fitted_intercept_only,1,7,882,882,0.05813218563085576,0.07459754880942648,0.0661052329117498,0.06294042596187155,0.0031648069498782516
no_ADAS13,Snapshot,cross_fitted_intercept_only,1,8,882,882,0.07460454311573095,0.1128879103016861,0.09092185572807107,0.08891705569242003,0.0020048000356510387
no_ADAS13,Snapshot,cross_fitted_intercept_only,1,9,882,882,0.1129219227172038,0.8471162276382996,0.2063949327254967,0.1593146836656808,0.04708024905981589
no_ADAS13,Snapshot,cross_fitted_intercept_only,2,0,881,881,0.08321743184367403,0.15490980178562197,0.13514515126016483,0.0927536813682287,0.04239146989193612
no_ADAS13,Snapshot,cross_fitted_intercept_only,2,1,882,882,0.1549398327929281,0.17862397831681753,0.16720918254314737,0.09642317879113715,0.07078600375201022
no_ADAS13,Snapshot,cross_fitted_intercept_only,2,2,882,882,0.17862397831681753,0.20188310502862472,0.19012987629273276,0.14834587277506306,0.0417840035176697
no_ADAS13,Snapshot,cross_fitted_intercept_only,2,3,881,881,0.2018851257004638,0.22984410470075056,0.2151601940178915,0.18194276066345694,0.033217433354434556
no_ADAS13,Snapshot,cross_fitted_intercept_only,2,4,882,882,0.22986782483901502,0.2654818716309906,0.2467395896191614,0.2308298219198841,0.015909767699277294
